Symbol,Date,open,high,low,close,volume
^VN30,20210712,1488.29,1495.92,1406.14,1443.1,412553600
^VN30,20210709,1510,1526.35,1480.6,1494.4301,287668400
^VN30,20210708,1530.4,1536.51,1509.9,1521.21,218880200
^VN30,20210707,1501.4399,1538.77,1472.8101,1538.77,306583400
^VN30,20210706,1557.92,1565.29,1488.42,1488.42,298837000
^VN30,20210705,1559.9399,1560.4399,1533.1801,1557.41,309397900
^VN30,20210702,1545.14,1558.45,1545.14,1554.59,242776200
^VN30,20210701,1529.09,1545.14,1525.24,1545.14,253521100
^VN30,20210630,1529.97,1540.9,1528.1,1529,192676300
^VN30,20210629,1521.41,1536.96,1521.41,1529.97,203545700
^VN30,20210628,1500.3,1523.58,1500.3,1521.41,215306300
^VN30,20210625,1486.96,1500.9399,1480.64,1500.3,180213400
^VN30,20210624,1489.53,1497.92,1482.38,1486.96,175257700
^VN30,20210623,1489.24,1502.79,1485.13,1489.53,197836400
^VN30,20210622,1478.29,1498.12,1478.29,1489.24,211641600
^VN30,20210621,1481.3,1486.12,1473.11,1478.29,205148100
^VN30,20210618,1461.91,1484.89,1461.91,1481.3,198662900
^VN30,20210617,1465.58,1468.87,1452.53,1461.91,211574000
^VN30,20210616,1487.04,1487.6801,1462.99,1465.58,241627222
^VN30,20210615,1495.51,1498.75,1481.03,1487.04,239018700
^VN30,20210614,1487.61,1504.3199,1483.8199,1495.51,249571500
^VN30,20210611,1451.1801,1489.95,1448.46,1487.61,264960500
^VN30,20210610,1457.76,1464.4,1443.74,1451.1801,253444200
^VN30,20210609,1438.97,1465.9301,1426.04,1457.76,279949900
^VN30,20210608,1484.1,1493.36,1436.72,1438.97,328466400
^VN30,20210607,1508.35,1508.65,1472.1,1484.1,309807000
^VN30,20210604,1504.37,1509.38,1496.36,1508.35,336486800
^VN30,20210603,1478.85,1506.27,1478.85,1504.37,318348000
^VN30,20210602,1482.92,1488.9301,1469.49,1478.85,277182000
^VN30,20210601,1474.78,1496.55,1473.28,1482.92,255910200
^VN30,20210531,1458.78,1475.09,1449.66,1474.78,293022200
^VN30,20210528,1437.38,1460.6801,1433.55,1458.78,300175000
^VN30,20210527,1455.11,1457.46,1433.76,1437.38,264785900
^VN30,20210526,1444.01,1456.55,1440.6,1455.11,233969200
^VN30,20210525,1430.48,1445.6,1427.5601,1444.01,209778800
^VN30,20210524,1425.04,1433.59,1421.17,1430.48,256209400
^VN30,20210521,1424.92,1433.01,1412.78,1425.04,267790400
^VN30,20210520,1401.71,1424.92,1396.23,1424.92,270201500
^VN30,20210519,1378.59,1402.45,1378.4301,1401.71,279667100
^VN30,20210518,1371.36,1381.36,1367.85,1378.59,252829000
^VN30,20210517,1380.02,1391.89,1371.22,1371.36,254610700
^VN30,20210514,1370.1801,1386.09,1370.14,1380.02,251133900
^VN30,20210513,1380.17,1385.72,1370.1801,1370.1801,271897300
^VN30,20210512,1359.1899,1380.23,1350.8,1380.17,264230000
^VN30,20210511,1370.66,1382.0601,1359.1899,1359.1899,262049600
^VN30,20210510,1340.73,1371.51,1335.39,1370.66,302727000
^VN30,20210507,1344.64,1347.8,1329.51,1340.73,291435700
^VN30,20210506,1346.89,1352.5699,1337.28,1344.64,226859700
^VN30,20210505,1328.03,1360.76,1328.03,1346.89,274663200
^VN30,20210504,1312.28,1329.1801,1285.9,1328.03,274202700
^VN30,20210429,1294.0601,1312.62,1294.0601,1312.28,242336900
^VN30,20210428,1283.8101,1296.48,1280.54,1294.0601,206895500
^VN30,20210427,1275.04,1283.95,1264.5699,1283.8101,171780800
